Nom du site;Adresse;Code postal;Code Site;Nombre de bornes;Etat du site;geo_shape;geo_point_2d
BIBLIOTHEQUE AMELIE;164 RUE DE GRENELLE;75007;PW0059;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.308989882814166, 48.85806889772535]}";48.8580688977,2.30898988281
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 7;93 RUE SAINT DOMINIQUE;75007;PW0027;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.3072264832610783, 48.8595702097367]}";48.8595702097,2.30722648326
MAIRIE DU 7 EME;116 RUE DE GRENELLE;75007;PW0022;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.320043697435677, 48.85686647665855]}";48.8568664767,2.32004369744
BERGES RIVE GAUCHE - JARDIN FLOTTANT;PORT DU GROS CAILLOU;75007;PW0189;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.30452468193794, 48.86296417505912]}";48.8629641751,2.30452468194
ESPLANADE DES INVALIDES;1 RUE PAUL ET JEAN LEROLLE;75007;PW0161;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.312894263966204, 48.85818974233775]}";48.8581897423,2.31289426397
PROMENADE DES CHAMPS ELYSEES - KIOSQUE A MUSIQUE;AVENUE EDWARD TUCK;75008;PW0196;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.317839768979231, 48.86528730587914]}";48.8652873059,2.31783976898
BIBLIOTHEQUE EUROPE;3 RUE DE LISBONNE;75008;PW0124;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.317486478723445, 48.8777513840169]}";48.877751384,2.31748647872
PARC MONCEAU  - ENTREE PARC;1 PLACE DE LA REPUBLIQUE DOMINICAINE;75008;PW0151-1;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.307499076107147, 48.87994077004261]}";48.87994077,2.30749907611
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  8;28 RUE LAURE DIEBOLD;75008;PW0047;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.304784825574433, 48.87602928391506]}";48.8760292839,2.30478482557
PARC MONCEAU - ALLEE CONTESSE DE SEGUR;1-3 PLACE DE LA REPUBLIQUE DOMINICAINE;75008;PW0151;4;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.309839896973783, 48.880262340729686]}";48.8802623407,2.30983989697
GYMNASE BEAUJON;7 ALLEE LOUIS DE FUNES;75008;PW0095;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.304626719021802, 48.87536457154315]}";48.8753645715,2.30462671902
MUSEE CERNUSCHI;7 AVENUE VELASQUEZ;75008;PW0144;17;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.312523099981508, 48.8794445126079]}";48.8794445126,2.31252309998
MAIRIE DU 8 EME;3 RUE DE LISBONNE;75008;PW0024;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.317486478723445, 48.8777513840169]}";48.877751384,2.31748647872
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9 ANNEXE;35 RUE VICTOR MASSE;75009;PW0038;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.337010883062689, 48.88094098309762]}";48.8809409831,2.33701088306
SQUARE D'ANVERS;PLACE D'ANVERS;75009;PW0184;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.344520519971863, 48.88231742995314]}";48.88231743,2.34452051997
BIBLIOTHEQUE VALEYRE;24 RUE DE ROCHECHOUART;75009;PW0142;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.34502151233773, 48.87796726487002]}";48.8779672649,2.34502151234
SQUARE MONTHOLON;RUE LA FAYETTE;75009;PW0186;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.346405003129445, 48.876901657285096]}";48.8769016573,2.34640500313
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9;54 RUE PIGALLE;75009;PW0037;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.335936611209823, 48.88097813417975]}";48.8809781342,2.33593661121
SQUARE TRINITE D ESTIENNE D ORVES;1 PLACE D ESTIENNES D ORVES;75009;PW0176;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.331798275213253, 48.87659566954102]}";48.8765956695,2.33179827521
BIBLIOTHEQUE DROUOT;11 RUE DROUOT;75009;PW0060;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.340452056446281, 48.87339027391681]}";48.8733902739,2.34045205645
BIBLIOTHEQUE CHAPTAL;26 RUE CHAPTAL;75009;PW0109;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.332345559826885, 48.881111335939714]}";48.8811113359,2.33234555983
MAIRIE DU 9 EME;6 RUE DROUOT;75009;PW0131;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.340480602150851, 48.872591602361176]}";48.8725916024,2.34048060215
MAIRIE DU 10 EME;72 RUE DU FAUBOURG SAINT MARTIN;75010;PW0010;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.357382644948621, 48.87178451190305]}";48.8717845119,2.35738264495
MEDIATHEQUE FRANCOISE SAGAN;8 RUE LEON SCHWARTZENBERG;75010;PW0147;11;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.353666772968424, 48.87542987081136]}";48.8754298708,2.35366677297
BOURSE DU TRAVAIL;3 RUE DU CHATEAU D EAU;75010;PW0215;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.361997406270607, 48.86910541253627]}";48.8691054125,2.36199740627
JARDIN DES BERGES DU CANAL SAINT MARTIN;150 QUAI DE VALMY;75010;PW0194;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.367206668709812, 48.8801112154069]}";48.8801112154,2.36720666871
CENTRE SPORTIF DE LA GRANGE AUX BELLES;17 RUE BOY ZELENSKI;75010;PW0077;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.368390340217362, 48.877430616544906]}";48.8774306165,2.36839034022
GYMNASE MARIE PARADIS;11 SQUARE ALBAN SATRAGNE;75010;PW0097;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.355248428182183, 48.87545394069122]}";48.8754539407,2.35524842818
SQUARE FREDERIC LEMAITRE;35 QUAI DE JEMMAPES;75010;PW0197;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.367112330251715, 48.878838631646886]}";48.8788386316,2.36711233025
JARDIN VILLEMIN;8 RUE DES RECOLLETS;75010;PW0164;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.361904938537223, 48.874498828303075]}";48.8744988283,2.36190493854
BIBLIOTHEQUE FRANCOIS VILLON;81 BOULEVARD DE LA VILLETTE;75010;PW0116;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.37079691969116, 48.877205434154426]}";48.8772054342,2.37079691969
SQUARE DES RECOLLETS;88 QUAI DE VALMY;75010;PW0210;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.363611617977898, 48.87320402026159]}";48.8732040203,2.36361161798
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  10;206 QUAI DE VALMY;75010;PW0028;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.368720066964892, 48.88178411021711]}";48.8817841102,2.36872006696
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  11;8 RUE DU GENERAL RENAULT;75011;PW0029;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.378502475675964, 48.861265925542334]}";48.8612659255,2.37850247568
SQUARE JEAN AICARD;5 AVENUE JEAN AICARD;75011;PW0152;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381272316972541, 48.864908624429034]}";48.8649086244,2.38127231697
SQUARE ORILLON JULES VERNES;19B RUE DE L ORILLON;75011;PW0056;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.375117284276381, 48.86989268070317]}";48.8698926807,2.37511728428
SQUARE MAURICE GARDETTE;2 RUE DU GENERAL BLAISE RUE LACHARRIERE;75011;PW0205;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.379072517053181, 48.86108519335692]}";48.8610851934,2.37907251705
GYMNASE JAPY;2 RUE JAPY;75011;PW0096;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.382453535830383, 48.85587141220044]}";48.8558714122,2.38245353583
PROMENADE RICHARD LENOIR;67 BOULEVARD RICHARD LENOIR;75011;PW0206;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.372221416816595, 48.860512794097644]}";48.8605127941,2.37222141682
CENTRE SPORTIF GEORGES RIGAL;115 BOULEVARD DE CHARONNE;75011;PW0080;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.393868772427969, 48.85660341812767]}";48.8566034181,2.39386877243
CENTRE SPORTIF COUR DES LIONS;9-11 RUE ALPHONSE BAUDIN;75011;PW0076;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.370343866923958, 48.86067412777188]}";48.8606741278,2.37034386692
SQUARE COLBERT;159 RUE DE CHARONNE;75011;PW0160;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.389595542248922, 48.855591936732615]}";48.8555919367,2.38959554225
MAIRIE DU 11 EME;2 PLACE LEON BLUM;75011;PW0011;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.381003400476269, 48.85807993154853]}";48.8580799315,2.38100340048
MEDIATHEQUE VIOLETTE LEDUC;18 RUE FAIDHERBE;75011;PW0049;4;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.383960070968056, 48.851595552840706]}";48.8515955528,2.38396007097
SQUARE LA PETITE ROQUETTE;4 RUE SERVAN - SQUARE DE LA ROQUETTE;75011;PW0068;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.384187633080559, 48.859124367471004]}";48.8591243675,2.38418763308
SQUARE DES JARDINIERS;2 PASSAGE DUMAS;75011;PW0203;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.390250086858032, 48.85209002148713]}";48.8520900215,2.39025008686
SQUARE BREGUET SABIN;25 BOULEVARD RICHARD LENOIR;75011;PW0177;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.370479661100423, 48.8570974891207]}";48.8570974891,2.3704796611
BIBLIOTHEQUE PARMENTIER;20 AVENUE PARMENTIER;75011;PW0052;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.379034961498105, 48.86009629404829]}";48.860096294,2.3790349615
CENTRE PARIS ANIM'MAURICE RAVEL;6 RUE MAURICE RAVEL;75012;;1;En étude;"{""type"": ""Point"", ""coordinates"": [2.411668356058278, 48.84180392592806]}";48.8418039259,2.41166835606
BIBLIOTHEQUE SAINT ELOI;23 RUE DU COLONEL ROZANOFF;75012;PW0141;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.387110986075708, 48.84552915718272]}";48.8455291572,2.38711098608
PISCINE JEAN BOITEUX;13 RUE ANTOINE JULIEN HENARD;75012;PW0106;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.389397789011499, 48.842147212693675]}";48.8421472127,2.38939778901
BIBLIOTHEQUE HELENE BERR;70 RUE DE PICPUS;75012;PW0051;4;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.397476889678179, 48.84254112148939]}";48.8425411215,2.39747688968
CENTRE SPORTIF PAUL VALERY;15 RUE DE LA NOUVELLE CALEDONIE;75012;PW0087;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.410429161569746, 48.83800252906541]}";48.8380025291,2.41042916157
PARC DE BERCY (MAISON DU LAC);1 COUR CHAMONARD;75012;PW0058-1;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.384532226240481, 48.83507864071957]}";48.8350786407,2.38453222624
BIBLIOTHEQUE DIDEROT;42 AVENUE DAUMESNIL;75012;PW0135;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.377716139560769, 48.84596671657269]}";48.8459667166,2.37771613956
CENTRE SPORTIF LEON MOTTOT;17 CITE MOYNET;75012;PW0086;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.386629495395026, 48.8438656928756]}";48.8438656929,2.3866294954
CENTRE SPORTIF LEO LAGRANGE;68 BOULEVARD PONIATOWSKI;75012;PW0084;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.399334335935606, 48.8321648675282]}";48.8321648675,2.39933433594
PARC DE BERCY (ORANGERIE);1 COUR CHAMONARD;75012;PW0058-2;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.383252259533802, 48.836091766026286]}";48.836091766,2.38325225953
PARC FLORAL;ROUTE DE LA PYRAMIDE;75012;PW0200;5;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.439835247184326, 48.840125544936114]}";48.8401255449,2.43983524718
PARC DE BERCY (TERRASSE BERCY);1 COUR CHAMONARD;75012;PW0058-3;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.382350243699965, 48.83681071348854]}";48.8368107135,2.3823502437
MAIRIE DU 12 EME;130 AVENUE DAUMESNIL;75012;PW0012;2;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.388337487704945, 48.841104078480036]}";48.8411040785,2.3883374877
ESPACE REUILLY;21 RUE ANTOINE JULIEN HENARD;75012;PW0222;3;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.389633084390788, 48.84251862032188]}";48.8425186203,2.38963308439
GYMNASE REUILLY;11 RUE ANTOINE JULIEN HENARD;75012;PW0099;1;Opérationnel;"{""type"": ""Point"", ""coordinates"": [2.389171441921968, 48.84170547884535]}";48.8417054788,2.38917144192
